ar,smasvaedi,kyn,aldursflokkur,fjoldi
2023,2501,1,5-9 ára,62
2023,1203,1,5-9 ára,54
2023,2804,2,5-9 ára,70
2023,1201,1,5-9 ára,35
2023,1102,2,5-9 ára,64
2023,1202,2,5-9 ára,93
2023,704,1,5-9 ára,72
2023,3803,2,5-9 ára,46
2023,702,1,5-9 ára,41
2023,1206,1,5-9 ára,40
2023,303,1,5-9 ára,38
2023,1704,2,5-9 ára,50
2023,3302,2,5-9 ára,60
2023,3903,1,5-9 ára,65
2023,2401,2,5-9 ára,55
2023,3105,2,5-9 ára,32
2023,1701,1,5-9 ára,31
2023,1601,1,5-9 ára,39
2023,904,1,5-9 ára,53
2023,3202,1,5-9 ára,54
2023,3503,1,5-9 ára,56
2023,703,1,5-9 ára,46
2023,405,2,5-9 ára,56
2023,1502,1,5-9 ára,62
2023,3703,2,5-9 ára,37
2023,206,2,5-9 ára,50
2023,701,1,5-9 ára,54
2023,2901,1,5-9 ára,90
2023,1902,2,5-9 ára,37
2023,102,2,5-9 ára,31
2023,603,2,5-9 ára,21
2023,706,1,5-9 ára,64
2023,1804,1,5-9 ára,46
2023,703,2,5-9 ára,48
2023,2006,1,5-9 ára,63
2023,3104,1,5-9 ára,71
2023,3602,1,5-9 ára,54
2023,1103,1,5-9 ára,58
2023,1005,2,5-9 ára,45
2023,2205,1,5-9 ára,69
2023,3702,2,5-9 ára,40
2023,3203,1,5-9 ára,47
2023,801,1,5-9 ára,41
2023,3502,1,5-9 ára,55
2023,4203,2,5-9 ára,46
2023,2104,1,5-9 ára,72
2023,3204,1,5-9 ára,51
2023,3303,2,5-9 ára,36
2023,3903,2,5-9 ára,74
2023,1004,1,5-9 ára,84
2023,2103,1,5-9 ára,47
2023,3701,1,5-9 ára,34
2023,3501,2,5-9 ára,28
2023,1601,2,5-9 ára,39
2023,1301,2,5-9 ára,51
2023,302,1,5-9 ára,49
2023,2407,1,5-9 ára,64
2023,402,1,5-9 ára,70
2023,1703,2,5-9 ára,30
2023,1205,2,5-9 ára,24
2023,3002,1,5-9 ára,40
2023,905,1,5-9 ára,41
2023,103,1,5-9 ára,29
2023,1202,1,5-9 ára,76
2023,1504,2,5-9 ára,49
2023,902,1,5-9 ára,43
2023,2204,1,5-9 ára,49
2023,3603,1,5-9 ára,98
2023,905,2,5-9 ára,45
2023,1903,2,5-9 ára,24
2023,2403,2,5-9 ára,56
2023,501,2,5-9 ára,30
2023,204,2,5-9 ára,46
2023,2104,2,5-9 ára,67
2023,2902,2,5-9 ára,29
2023,3001,1,5-9 ára,56
2023,3801,1,5-9 ára,62
2023,3402,1,5-9 ára,33
2023,2102,2,5-9 ára,28
2023,707,2,5-9 ára,37
2023,2502,2,5-9 ára,23
2023,3003,2,5-9 ára,59
2023,501,1,5-9 ára,21
2023,1403,2,5-9 ára,40
2023,2003,1,5-9 ára,42
2023,1003,1,5-9 ára,67
2023,1801,1,5-9 ára,34
2023,2403,1,5-9 ára,69
2023,1206,2,5-9 ára,40
2023,606,2,5-9 ára,44
2023,605,1,5-9 ára,50
2023,3704,2,5-9 ára,27
2023,2106,2,5-9 ára,59
2023,1502,2,5-9 ára,48
2023,708,2,5-9 ára,57
2023,602,1,5-9 ára,52
2023,2901,2,5-9 ára,81
2023,1305,1,5-9 ára,23
2023,1706,1,5-9 ára,52
2023,1002,2,5-9 ára,92
2023,4102,1,5-9 ára,116
2023,1801,2,5-9 ára,39
2023,504,1,5-9 ára,52
2023,3101,1,5-9 ára,100
2023,3205,2,5-9 ára,57
2023,102,1,5-9 ára,28
2023,801,2,5-9 ára,34
2023,3301,2,5-9 ára,55
2023,1704,1,5-9 ára,50
2023,2404,2,5-9 ára,83
2023,1703,1,5-9 ára,39
2023,1901,1,5-9 ára,57
2023,1807,2,5-9 ára,59
2023,403,1,5-9 ára,18
2023,2302,1,10-14 ára,32
